customer_id,first_name,last_name,email,phone,city,state,signup_date,customer_segment
CUST1066,DANIEL,Ramirez,daniel.ramirez58@outlook.com,(979) 453-5543,Nashville,TN,2024-12-03,Corporate
CUST1067,Cris,Davis,cris.davis57@gmail.com,(940) 492-4841,Miami,FL,2023-07-11,Retail
CUST1068,Ava,Lewis,ava.lewis11@yahoo.com,(364) 436-7275, Salt Lake City,UT,2022-11-09,Wholesale
CUST1069,Levi,Williams,levi.williams53@outlook.com,(765) 677-7812,Raleigh,NC,2022-05-08,Retail
CUST1070,Ella,Wilson,ELLA.WILSON99@PROTON.ME,922-220-7232,Atlanta,GA,2024-09-03,Retail
CUST1071,Emma,Martinez,emma.martinez54@proton.me,(975) 952-9947,Atlanta,GA,2023-03-28,Corporate
CUST1072,Ethan,Rodriguez ,ethan.rodriguez63@gmail.com,(608) 544-7624,Raleigh,NC,12/05/2022,corporate
CUST1073,Hannah,Jones,hannah.jones69@gmail.com,(613) 806-1444,Sacramento,CA,2022-06-21,Wholesale
CUST1074,Isabella,Jones,isabella.jones24@gmail.com,(476) 588-6363,Charlotte,NC,2023-03-10,Corporate
CUST1075,Ava,Hernandez,ava.hernandez36@hotmail.com,(468) 283-8705,Atlanta,GA,2022-02-09,Wholesale
CUST1076,Harper,Johnson,harper.johnson29@icloud.com,(280) 999-1659,Madison,WI,Mar 05 2022,Retail
CUST1077,LEVI,Clark,levi.clark80@yahoo.com,(454) 329-8758,Austin,TX,2022-08-23,Online
CUST1078,levi,Anderson,levi.anderson99@outlook.com,(381) 820-2876,Miami,FL,2022-12-02,Retail
CUST1079,Elijah,Jackson,elijah.jackson40@proton.me,(903) 584-7498,Austin,TX,2023-02-11,Retail
CUST1080,Evelyn,Thompson,evelyn.thompson14@icloud.com,518-900-2983,Portland,OR,03/26/2022,Retail
CUST1081,Harper,Wilson ,harper.wilson9@proton.me,(873) 549-1207,Madison,WI,2024-05-10,Corporate
CUST1082,Elijah,Wilson,elijah.wilson82@hotmail.com,(934) 356-8135,Madison,WI,2022-12-27,Wholesale
CUST1083,Amelia,Lee,amelia.lee79@proton.me,(705) 676-8136,Miami,FL,2023-07-04,Retail
CUST1084,Nora,Davis,NORA.DAVIS36@HOTMAIL.COM,(459) 968-8613,Houston,TX,2024-02-16,retail
CUST1085,Liam,Thomas,liam.thomas24@hotmail.com,(427) 563-5232, Chicago,IL,2023-11-29,Retail
CUST1086,Scarlett,Martin,scarlett.martin72@gmail.com,(739) 395-2402,Miami,FL,2023-05-10,Wholesale
CUST1087,Isabella,Thomas,isabella.thomas98@yahoo.com,(917) 687-9041,Salt Lake City,UT,2024-07-06,Retail
CUST1088,OLIVER,Martinez,oliver.martinez52@icloud.com,(459) 513-7046,Portland,OR,08/27/2024,Online
CUST1089,Amelia,Lopez,amelia.lopez96@proton.me,(548) 560-8434,Raleigh,NC,2023-07-09,Retail
CUST1090,Mason,Davis ,mason.davis93@yahoo.com,533-322-9779,San Antonio,TX,2023-01-15,Retail
CUST1091,levi,White,levi.white36@icloud.com,(813) 978-9595,Nashville,TN,2023-08-03,Retail
CUST1092,Ella,Miller,ella.miller30@outlook.com,(393) 509-1231,Tampa,FL,2024-12-29,Retail
CUST1093,Mason,Johnson,mason.johnson71@outlook.com,(924) 329-9042,Dallas,TX,2022-07-30,Retail
CUST1094,Evelyn,Martinez,evelyn.martinez62@hotmail.com,(558) 388-1841,Nashville,TN,2023-06-02,Corporate
CUST1095,Elijah,Clark,elijah.clark52@hotmail.com,(285) 790-1878,Houston,TX,Nov 07 2022,Retail
CUST1096,Grace,Jackson,grace.jackson11@yahoo.com,(331)771-7818,Tampa,FL,04/08/2023,online
CUST1097,Sophia,Anderson,sophia.anderson39@proton.me,(649) 512-1986,Charlotte,NC,2022-07-23,Retail
CUST1098,Cris,Miller,CRIS.MILLER85@GMAIL.COM,(370) 445-3847,Miami,FL,2025-02-04,Retail
CUST1099,LUCAS,Smith ,lucas.smith58@icloud.com,(818) 681-5771,Raleigh,NC,2022-03-08,Retail
CUST1100,Logan,Thompson,logan.thompson90@hotmail.com,282-903-4824,Tampa,FL,2023-06-26,Wholesale
CUST1101,Evelyn,Perez,evelyn.perez55@gmail.com,(767) 430-3441,Seattle,WA,2023-06-29,Retail
CUST1102,Oliver,Johnson,oliver.johnson40@proton.me,(976) 782-5728, Denver,CO,2024-06-18,Retail
CUST1103,Mia,Thompson,mia.thompson90@hotmail.com,(488) 712-9847,Tampa,FL,2024-10-08,Corporate
CUST1104,oliver,Martin,oliver.martin56@icloud.com,(540) 818-5102,Dallas,TX,02/22/2022,Retail
CUST1105,Ethan,Perez,ethan.perez76@gmail.com,(898) 475-1659,San Diego,CA,2022-12-25,Corporate
CUST1106,Amelia,Lee,amelia.lee36@yahoo.com,(809) 646-9056,Charlotte,NC,2022-07-06,Corporate
CUST1107,Emma,Wilson,emma.wilson42@icloud.com,(317) 364-6403,Chicago,IL,2024-04-23,Wholesale
CUST1108,Charlotte,Martinez ,charlotte.martinez98@proton.me,(247) 665-2442,Atlanta,GA,2023-10-07,retail
CUST1109,Ava,Brown,ava.brown66@gmail.com,(883) 755-8569,Atlanta,GA,2024-04-26,Retail
CUST1110,LEVI,Taylor,levi.taylor80@hotmail.com,850-652-1845,Madison,WI,2023-02-21,Retail
CUST1111,Harper,Jones,harper.jones57@icloud.com,(706) 324-1472,Tampa,FL,2023-05-06,Wholesale
CUST1112,Lucas,Martinez,LUCAS.MARTINEZ2@PROTON.ME,(627)295-4681,Salt Lake City,UT,08/21/2022,Corporate
CUST1113,Elijah,Lee,elijah.lee64@icloud.com,(508) 721-5479,Phoenix,AZ,2024-04-30,Corporate
CUST1114,Charlotte,Davis,charlotte.davis71@yahoo.com,(602) 395-9327,Charlotte,NC,Oct 07 2022,Retail
CUST1115,Mason,Harris,mason.harris44@proton.me,(483) 202-5634,Raleigh,NC,2023-09-04,Online
CUST1116,Evelyn,Perez,evelyn.perez20@hotmail.com,(761) 695-6654,Nashville,TN,2023-11-12,Online
CUST1117,samuel,Moore ,samuel.moore59@outlook.com,(403) 914-4912,Atlanta,GA,2024-02-24,Retail
CUST1118,Nora,Harris,nora.harris6@outlook.com,(972) 684-7246,Raleigh,NC,2024-03-01,Wholesale
CUST1119,Grace,Clark,grace.clark64@gmail.com,(339) 714-6439, Phoenix,AZ,2022-07-25,Corporate
CUST1120,Elijah,Taylor,elijah.taylor2@icloud.com,357-619-3529,Charlotte,NC,06/03/2022,corporate
